Country,Gender,population,Income,incomepc,Age,Education,pc,Videogames,Piano,Teamsport,gym,Restaurant,Charity,Ecommerce,Information,taste,segments
UK,1,75000,24999.5,24999.5,42,Bac+2/Bac+3,1,0,0,0,0,0,0,0,"Oui, tout à fait",10,2
ES,0,30000,44999.5,11249.875,66,Bac+2/Bac+3,4,0,0,0,1,1,0,1,"Oui, partiellement",0,3
UK,0,75000,54999.5,13749.875,34,Bac,4,1,0,0,0,1,0,0,"Oui, partiellement",10,3
ES,1,1000000,84999.5,42499.75,32,Bac+5,2,0,0,0,0,1,1,1,"Oui, tout à fait",5,0
FR,0,30000,24999.5,6249.875,28,Bac,4,1,0,1,0,1,0,1,"Oui, partiellement",5,3
FR,1,75000,34995.00000000001,11665.000000000002,45,Bac+2/Bac+3,3,1,0,1,0,1,0,1,"Oui, partiellement",0,3
FR,1,1000,10000.0,10000.0,56,Bac,1,1,0,0,0,0,0,1,"Oui, partiellement",5,2
ES,1,75000,34995.00000000001,8748.750000000002,39,Bac+5,4,1,0,1,1,1,0,1,"Oui, tout à fait",0,3
ES,1,1000000,54999.5,18333.166666666668,34,Bac+2/Bac+3,3,1,0,0,1,1,0,1,"Oui, tout à fait",10,0
DE,1,1000000,24999.5,24999.5,69,Bac,1,1,0,0,0,1,0,1,"Non, pas du tout",10,0
FR,1,75000,44999.5,11249.875,39,Bac+5,4,1,0,0,1,1,0,1,"Oui, partiellement",5,3
FR,1,30000,84999.5,28333.166666666668,44,Bac,3,1,0,1,0,1,0,1,"Oui, partiellement",5,1
ES,0,3500,24999.5,4999.9,29,Bac+2/Bac+3,5,0,1,1,0,1,0,1,"Oui, tout à fait",5,3
ES,0,1000000,10000.0,3333.3333333333335,60,Bac+2/Bac+3,3,0,0,1,1,0,0,1,"Oui, tout à fait",5,0
ES,0,30000,10000.0,10000.0,33,Bac+5,1,1,0,1,1,1,0,1,"Oui, partiellement",0,3
FR,1,1000,34995.00000000001,17497.500000000004,72,Bac+2/Bac+3,2,0,0,0,1,1,0,1,"Oui, tout à fait",10,2
UK,1,7500,24999.5,6249.875,23,Doctorat,4,1,0,0,1,0,0,1,"Oui, tout à fait",5,3
ES,1,75000,34995.00000000001,8748.750000000002,44,Bac+2/Bac+3,4,1,0,1,1,1,0,1,"Oui, partiellement",0,3
ES,0,75000,10000.0,2500.0,52,Collège,4,1,0,0,0,0,0,0,"Non, pas du tout",0,3
UK,1,1000,10000.0,10000.0,47,Bac+2/Bac+3,1,1,0,0,0,1,0,1,"Oui, tout à fait",5,2
ES,0,30000,10000.0,10000.0,39,Bac+2/Bac+3,1,1,0,0,0,1,0,1,"Oui, partiellement",0,2
ES,1,3500,10000.0,5000.0,33,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Oui, partiellement",5,3
ES,1,75000,34995.00000000001,11665.000000000002,38,Bac,3,1,0,1,1,1,0,1,"Oui, partiellement",20,3
DE,1,30000,64999.5,21666.5,58,Collège,3,1,0,1,1,0,0,1,"Oui, tout à fait",0,1
ES,0,75000,24999.5,12499.75,54,Bac+2/Bac+3,2,0,0,0,0,1,0,1,"Oui, partiellement",0,2
DE,1,30000,44999.5,44999.5,56,Bac+5,1,0,0,0,1,1,0,1,"Oui, partiellement",5,1
ES,0,750000,10000.0,2500.0,66,Bac+2/Bac+3,4,1,0,0,0,1,0,1,"Oui, partiellement",20,0
UK,1,1000000,74999.5,18749.875,64,Bac,4,1,0,1,1,1,0,1,"Oui, partiellement",0,0
UK,0,75000,74999.5,18749.875,39,Bac+5,4,1,0,0,1,1,0,1,"Oui, tout à fait",10,3
ES,1,1000000,24999.5,8333.166666666666,51,Bac+2/Bac+3,3,1,0,0,1,1,0,1,"Oui, partiellement",5,0
ES,1,30000,64999.5,16249.875,49,Bac+2/Bac+3,4,1,0,1,0,1,0,1,"Oui, partiellement",20,3
DE,0,3500,44999.5,11249.875,29,Bac+5,4,1,0,0,1,1,0,1,"Oui, tout à fait",10,3
ES,0,30000,10000.0,2500.0,19,Collège,4,1,0,0,1,0,0,1,"Oui, tout à fait",5,3
ES,0,30000,10000.0,2500.0,48,Bac+2/Bac+3,4,0,0,0,0,1,0,1,"Non, pas du tout",10,3
UK,0,7500,54999.5,27499.75,27,Bac,2,0,0,0,1,1,0,1,"Non, pas du tout",0,1
ES,0,3500,24999.5,12499.75,31,Bac+2/Bac+3,2,1,0,0,1,1,0,1,"Oui, partiellement",5,3
FR,1,75000,10000.0,3333.3333333333335,26,Bac,3,0,0,1,0,1,1,0,"Oui, partiellement",0,3
UK,0,75000,24999.5,12499.75,44,Bac+5,2,1,0,0,0,1,0,1,"Oui, partiellement",5,2
FR,0,1000,10000.0,10000.0,45,Bac,1,0,0,0,0,1,0,0,"Oui, partiellement",0,2
DE,1,750000,84999.5,21249.875,40,Bac+5,4,1,0,0,1,1,0,1,"Oui, partiellement",5,0
UK,1,1000000,44999.5,22499.75,75,Bac+2/Bac+3,2,0,0,0,0,1,0,1,"Oui, tout à fait",5,0
UK,0,75000,10000.0,3333.3333333333335,28,Bac+2/Bac+3,3,0,0,0,0,0,0,1,"Oui, partiellement",5,3
ES,0,750000,10000.0,3333.3333333333335,47,Bac,3,1,0,0,0,1,0,1,"Oui, tout à fait",5,0
ES,0,30000,24999.5,8333.166666666666,44,Bac+2/Bac+3,3,1,0,0,0,1,0,1,"Oui, partiellement",5,3
DE,1,1000,10000.0,10000.0,69,Bac+5,1,1,0,0,0,1,0,1,"Oui, partiellement",5,2
DE,0,30000,24999.5,8333.166666666666,29,Collège,3,1,0,1,1,1,0,1,"Oui, tout à fait",10,3
DE,0,30000,10000.0,10000.0,38,Collège,1,1,0,0,0,1,0,1,"Oui, partiellement",0,2
FR,0,750000,54999.5,10999.9,30,Bac+5,5,1,0,0,1,1,0,1,"Oui, tout à fait",20,0
FR,0,750000,84999.5,28333.166666666668,26,Doctorat,3,1,0,0,0,1,0,1,"Oui, tout à fait",5,0
ES,0,1000,10000.0,5000.0,44,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Non, pas du tout",0,2
ES,0,75000,10000.0,3333.3333333333335,24,Bac+2/Bac+3,3,1,0,0,0,1,0,1,"Oui, partiellement",5,3
FR,1,1000,10000.0,3333.3333333333335,68,Collège,3,0,0,0,0,1,0,0,"Oui, tout à fait",0,2
ES,1,30000,64999.5,16249.875,44,Bac+2/Bac+3,4,1,0,0,0,1,0,1,"Oui, partiellement",0,3
ES,0,3500,10000.0,2500.0,38,Bac+5,4,1,0,0,1,1,0,1,"Oui, tout à fait",10,3
FR,1,3500,44999.5,22499.75,74,Doctorat,2,0,0,0,0,1,0,1,"Oui, partiellement",0,2
DE,1,30000,64999.5,32499.75,33,Bac,2,1,0,0,0,1,0,1,"Oui, partiellement",0,1
DE,1,75000,54999.5,27499.75,59,Bac,2,0,0,1,1,1,0,1,"Oui, partiellement",5,1
DE,1,7500,34995.00000000001,34995.00000000001,33,Collège,1,1,0,0,0,0,0,0,"Oui, partiellement",5,1
FR,1,30000,44999.5,22499.75,50,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Oui, partiellement",5,1
ES,0,30000,44999.5,11249.875,35,Bac+5,4,1,0,0,1,1,0,1,"Oui, tout à fait",5,3
UK,1,30000,10000.0,5000.0,58,Bac,2,1,0,0,0,0,0,1,"Oui, partiellement",0,2
ES,0,1000000,10000.0,10000.0,75,Bac,1,0,0,0,1,1,0,1,"Oui, tout à fait",0,0
DE,0,30000,54999.5,10999.9,52,Bac+5,5,1,0,0,0,1,0,1,"Oui, partiellement",10,3
DE,0,30000,24999.5,24999.5,79,Bac,1,0,0,1,0,1,0,1,"Oui, partiellement",0,2
DE,0,1000000,84999.5,42499.75,39,Bac+5,2,0,0,0,1,1,0,1,"Oui, tout à fait",5,0
DE,1,30000,10000.0,10000.0,72,Bac,1,0,0,0,0,0,0,1,"Oui, partiellement",10,2
UK,0,75000,10000.0,5000.0,53,Bac,2,0,0,0,0,1,0,0,"Oui, tout à fait",10,2
ES,1,75000,10000.0,5000.0,59,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Oui, partiellement",5,2
ES,1,30000,34995.00000000001,11665.000000000002,40,Bac,3,1,0,1,1,1,0,1,"Oui, tout à fait",0,3
UK,1,1000000,54999.5,18333.166666666668,35,Bac+2/Bac+3,3,1,0,0,0,1,0,1,"Oui, tout à fait",20,0
UK,0,75000,24999.5,6249.875,39,Bac+5,4,1,0,0,0,0,0,1,"Oui, tout à fait",5,3
DE,0,1000,44999.5,22499.75,45,Bac,2,1,0,1,1,1,0,1,"Oui, partiellement",0,1
ES,1,1000,10000.0,5000.0,56,Bac,2,1,0,0,0,1,0,0,"Oui, partiellement",5,2
UK,0,75000,24999.5,6249.875,20,Bac,4,1,0,0,1,1,0,1,"Oui, tout à fait",10,3
